image,gt_classes,pred_classes,missing_classes,extra_classes,has_false_positive,class_recall,class_precision,class_f1
001783412_jpg.rf.aa0c2e5a6bd0c470228985087588f4b8.jpg,3S|5C|8C,3C|3S|5C|8C,,3C,TRUE,1,0.75,0.8571
004452289_jpg.rf.52bab83a2eae97597af73bfae5f29d2c.jpg,2C|7H|9D,2C|7H|8S|9D,,8S,TRUE,1,0.75,0.8571
004843130_jpg.rf.2ae0de70ac4a982addb4702938858c00.jpg,4H|6D|QD,4H|QD,6D,,FALSE,0.6667,1,0.8
006828683_jpg.rf.03dd56bba8e709493a806da2e2cfe6e1.jpg,2C|9S|KD,9S|KD,2C,,FALSE,0.6667,1,0.8
008090758_jpg.rf.9ee30f33525430423510a9c18c8e7333.jpg,10C|3S|JD,10C|JD,3S,,FALSE,0.6667,1,0.8
014856104_jpg.rf.49b17b69af19c03305c98d43f8ebb61f.jpg,2S|4D|AH,2S|4D|AH,,,FALSE,1,1,1
016350170_jpg.rf.de0e61289e0eb5eaadafd0586735b435.jpg,2H|AD|KC,2H|AD|KC,,,FALSE,1,1,1
016426608_jpg.rf.d30871665b18a6441351009870e560e7.jpg,4D|9S|AC,4D|9S|AC,,,FALSE,1,1,1
017037492_jpg.rf.ae2c7f844f3b14261798e0661158d076.jpg,10D|5D|9H,10D|5D|9H,,,FALSE,1,1,1
017733999_jpg.rf.aa735b9a5973330b462ac323c97ea436.jpg,8D|AS|QH,10H|8D|AC,AS|QH,10H|AC,TRUE,0.3333,0.3333,0.3333
019718854_jpg.rf.d73ec2d8253c665b418c80adac2c9de2.jpg,4D|KS|QS,4D|KS,QS,,FALSE,0.6667,1,0.8
019781284_jpg.rf.31963401f35b87f964289bac2e99ca7e.jpg,10S|AD|KH,10S|AD|JH,KH,JH,TRUE,0.6667,0.6667,0.6667
021407554_jpg.rf.df6fba73e4a1285ceb5d4263a18ee3d0.jpg,10C|4C|QS,10C|QC,4C|QS,QC,TRUE,0.3333,0.5,0.4
021582997_jpg.rf.85469545d94497326a1773d1c112ca16.jpg,2D|8H|9S,2D|8H,9S,,FALSE,0.6667,1,0.8
021788350_jpg.rf.9fce1fe75adcc24b6fd82d747e84ed4e.jpg,5C|6C|8D,5C|6C|8D,,,FALSE,1,1,1
022103614_jpg.rf.f98d55e70a1fd2e4c23a326559cfbd3b.jpg,3S|8S|AS,3S|8S,AS,,FALSE,0.6667,1,0.8
